,Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),Class
255,23.5,6.5,7.15,1.0,302.5,1.05,300.0,605.0,63.0,0
256,27.0,7.3,7.55,2.1,875.0,1.05,605.0,1750.0,84.5,0
257,27.0,7.25,7.75,1.65,58.5,0.65,48.0,117.0,429.5,3
258,27.5,1.7,7.7,27.0,567.5,0.25,175.5,1135.0,2096.0,4
259,27.5,6.75,7.95,7.55,190.0,0.85,61.5,380.0,668.5,4
260,27.5,6.7,7.85,2.5,111.0,1.25,64.5,222.0,692.5,4
261,27.5,7.6,7.25,0.85,23.75,0.2,1.9,47.5,452.0,3
262,27.5,0.8,7.95,123.5,512.5,0.39,366.5,1025.0,2278.5,4
263,28.0,7.3,8.0,1.85,135.0,0.65,71.0,270.0,328.0,2
264,30.5,0.0,7.5,32.5,2850.0,0.35,410.0,5700.0,1959.5,4
265,28.0,7.0,8.35,1.4,35.5,0.3,10.5,71.0,245.0,1
266,27.0,7.35,8.05,0.95,12.25,0.1,2.9,24.5,375.5,2
267,20.4,7.4,7.8,1.55,21.5,0.85,5.9,43.0,284.0,2
268,18.6,7.45,7.75,1.6,23.75,0.95,7.4,47.5,1280.0,4
269,23.0,6.85,7.85,1.8,25.75,0.45,9.9,51.5,244.5,1
270,22.5,7.65,8.2,1.1,21.0,0.445,1.8,42.0,246.5,1
271,22.5,7.5,8.2,1.3,19.75,0.85,1.8,39.5,352.5,2
272,23.0,7.75,8.15,1.2,20.25,0.65,1.8,40.5,313.5,2
273,20.25,7.7,7.8,1.45,21.5,0.8,6.4,43.0,259.0,2
274,25.0,8.4,8.0,1.65,158.5,2.3,10.0,317.0,933.5,4
275,23.0,7.45,8.3,1.0,22.0,0.7,1.8,44.0,309.5,2
276,24.5,8.0,8.0,2.15,617.5,2.715,25.5,1235.0,1025.0,4
277,25.0,8.65,8.0,2.15,552.5,8.0,56.0,1105.0,332.0,2
278,22.5,7.1,8.25,1.1,20.75,0.95,9.9,41.5,298.5,2
